"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"144",144,"Guilford","NC",650,347420,30.4,11.9,676,1188,28212,76.1,24.8,7.3,5.4,20349,7070,3
"60",60,"Duval","FL",774,672971,30.7,10.7,1538,2623,68586,76.9,18.4,9.8,6.6,17662,11886,3
"110",110,"Jefferson","CO",772,438430,26.9,8,551,298,23453,89.8,30.7,4.1,4.1,20997,9206,4
"166",166,"Richland","SC",757,285720,34.7,9.5,999,1207,24101,79.4,28,10.1,4.6,17137,4896,3
"181",181,"Adams","CO",1192,265038,29.6,7.6,439,318,19369,78.8,13,8.8,5,16116,4271,4
"162",162,"Butler","OH",467,291479,29.9,10.2,308,878,13850,76,18.7,7.6,6.6,16750,4882,2
"293",293,"Lake","FL",953,152104,19,27.5,167,664,7099,70.6,12.7,7.9,8.9,17496,2661,3
"241",241,"Bell","TX",1059,191088,34.6,8.8,513,572,10865,79.1,17.2,12.2,6.7,13536,2587,3
"130",130,"Mobile","AL",1233,378643,26.7,11.8,850,1898,30409,70.1,15.5,17.5,7.2,14389,5448,3
"42",42,"Fairfax_County","VA",396,818584,29.2,6.5,1694,135,30202,91.4,49,2.2,3.2,28999,23738,3
"425",425,"Strafford","NH",369,104233,34.8,10.7,139,237,3651,79.8,21.7,5.1,6.5,17182,1791,1
"423",423,"Gregg","TX",274,104948,26.4,13.3,166,420,9181,75.8,17.7,13.4,8.2,16775,1761,3
"385",385,"Jackson","MS",727,115243,25.9,9.4,170,346,4777,74.4,14.4,14,7.1,13475,1553,3
"349",349,"Licking","OH",687,128300,26.2,11.8,101,192,1380,76.4,13,8.3,6.3,16412,2106,2
"314",314,"Fayette","PA",790,145351,22.9,18,124,409,3612,67.8,9.3,17.6,9.4,14051,2042,1
"250",250,"Larimer","CO",2601,186136,32.1,9.6,278,409,8921,88.6,32.3,6.6,4.1,17140,3190,4
"204",204,"Clark","WA",628,238053,25.3,10.6,256,299,10706,83.9,16.8,7,6.6,16790,3997,4
"252",252,"McHenry","IL",604,183241,26.3,9.4,160,371,4854,84.5,21,2.5,7.1,21855,4005,2
"74",74,"Oklahoma","OK",709,599611,28.4,12.1,1922,3487,57045,79.1,22.6,11.3,6,17741,10638,3
"374",374,"Ector","TX",901,118934,27.1,9.3,153,389,14643,66.9,11.4,16.6,6.6,14766,1756,3
"232",232,"Kanawha","WV",903,207619,23.9,15.7,569,1342,10246,72.4,17.6,12.3,7.5,17192,3569,3
"190",190,"New_London","CT",666,254957,31.2,11.9,486,515,7807,80.9,21.8,4.7,6.8,20259,5165,1
"34",34,"Palm_Beach","FL",1974,863518,23.3,24.4,1833,3164,76142,78.8,22.1,6.2,8.4,26798,23141,3
"430",430,"Sumter","SC",666,102637,31.6,9.4,88,214,7138,69.8,15,16.9,9.4,11803,1211,3
"348",348,"Tolland","CT",410,128699,33.9,9,164,173,1799,84.7,29.2,2.7,5.9,21944,2824,1
"324",324,"Chautauqua","NY",1062,141895,25.7,15.7,164,653,5178,74.4,14.2,9.9,7.7,15197,2156,1
"239",239,"Leon","FL",667,192493,38.5,8.2,413,823,23363,84.9,37.1,9.4,3.9,16422,3161,3
"295",295,"Butler","PA",789,152013,27,13.5,127,261,3420,78.6,15.6,7.1,6.8,17251,2622,1
"393",393,"St._Lawrence","NY",2686,111974,31.2,12.1,132,378,3851,73.1,15.1,12.8,9.8,12704,1423,1
"111",111,"Plymouth","MA",661,435276,27.1,11.6,576,813,14846,83.8,22.2,5.3,10.4,21500,9358,1
"334",334,"Dona_Ana","NM",3807,135510,31.4,8.8,171,240,8850,70.4,21.9,20.7,7.4,11379,1542,4
"165",165,"Seminole","FL",308,287529,27.9,10.3,357,352,17518,84.6,26.3,5.3,6.1,17885,5142,3
"271",271,"Jefferson","MO",657,171380,28.5,8.3,61,230,3128,71.6,9,6,8.7,15896,2724,2
"360",360,"Pueblo","CO",2389,123051,24.1,15.2,259,555,8640,73.9,14,16.7,7,14197,1747,4
"207",207,"Gloucester","NJ",325,230082,28,10.8,199,339,9746,77.5,18.1,4.7,7.1,18523,4262,1
"231",231,"Greene","MO",675,207949,31,13.3,490,1785,13551,78.9,20.7,9.2,4.8,16630,3458,2
"255",255,"Harford","MD",440,182132,28.8,8.3,247,333,6735,81.6,21.5,4.1,6.7,20941,3814,3
"172",172,"Clackamas","OR",1868,278850,23.1,11.5,462,345,12855,85.7,23.6,4.7,4.2,19942,5561,4
"99",99,"Bernalillo","NM",1166,480577,29.2,10.5,1585,1726,41280,82.1,26.7,10.9,5.2,17518,8419,4
